Indicator,Type
70df765f554ed7392200422c18776b8992c09231,FileHash-SHA1
58.158.177.102,IPv4
95.211.172.143,IPv4
783b2eefdb90eb78cfda475073422ee86476aca65d67ff2c9cf6a6f9067ba5fa,FileHash-SHA256
209.99.40.222,IPv4
marioterno.com,domain
CVE-2022-30190,CVE
https://www.prodaft.com/m/reports/FIN7_TLPCLEAR.pdf,URL
af2f4142463f42548b8650a3adf5ceb2,FileHash-MD5
18cc54e2fbdad5a317b6aeb2e7db3973cc5ffb01bbf810869d79e9cb3bf02bd5,FileHash-SHA256
a67d6e87283c34459b4660f19747a306,FileHash-MD5
a873f3417d54220e978d0ca9ceb63cf13ec71f84,FileHash-SHA1
CVE-2020-1472,CVE
109.230.199.227,IPv4
45.67.229.148,IPv4
192.42.119.41,IPv4
smtcompany.ir,domain
bluebadges-meta-help.cf,domain
CVE-2021-42321,CVE
539c228b6b332f5aa523e5ce358c16647d8bbe57,FileHash-SHA1
CVE-2013-3906,CVE
jardinoks.com,domain
widisusez.com,domain
purestealconstruction.com,domain
groundworkseasy.com,domain
655979d56e874fbe7561bb1b6e512316c25cbb19,FileHash-SHA1
7bdae0dfc37cb5561a89a0b337b180ac6a139250bd5247292f470830bd96dda7,FileHash-SHA256
moviedvdpower.com,domain
https://www.icebrg.io/blog/footprints-of-fin7-tracking-actor-patterns,URL
vmware-cdn.com,domain
hawrickday.com,domain
http://www.prodaft.com/blog/detail/opblueraven-unveiling-fin7carbanak-part-ii-badusb-attacks,URL
https://www.prodaft.com/blog/detail/opblueraven-unveiling-fin7carbanak-part-i-tirion,URL
78.128.112.217,IPv4
95.211.185.11,IPv4
3177fc8cf1db4e6b6946b6d976729a1b8bbedeba,FileHash-SHA1
0990102bf8a70f2a849dfb689f3214154b4f6a7b,FileHash-SHA1
4234771b4a86d47f6e58a35202622ba401945fac,FileHash-SHA1
68b70d40a4082691bbdffc0b29b316a24221681e,FileHash-SHA1
6e8609713d335bcf40bf5837d3ee85d02d790547,FileHash-SHA1
88c7f9a961daa6128c6c88b389ce46e17ff5116d,FileHash-SHA1
8f3b9cb4001b5cd03498a7480e22fc68d01e1b3b,FileHash-SHA1
c93fdf5b3791e857ad3daffd74ed5fe07f6db302,FileHash-SHA1
c9d938bc1cba285c18f54fe1f9abd23d8629785e,FileHash-SHA1
2e2f3e4ff94a11a25a5a3776101526f9e3e9afa7,FileHash-SHA1
421fe5ec5672f74094830930472f02a272d95df7,FileHash-SHA1
42d79897547dcf27e93553bd0d9ea169c42e3a0c,FileHash-SHA1
944f930ec61bde81ca233abae297399381242684,FileHash-SHA1
c689f3664b3dce4c8c72018a5f7ea01ce25fcdf5,FileHash-SHA1
c9d0de486ca1836d3531ba76a3c123afa1c12340,FileHash-SHA1
0a0d25fa18b03a16388076022726a6881163a2b3,FileHash-SHA1
6b5663800e6db9eb876567b00e1d4872a7132199,FileHash-SHA1
6c9a7376613f0d74256ff08b1b75f4f03bfb10bd,FileHash-SHA1
919bf5411b8b619efaf120b15983bd80a8bc176f,FileHash-SHA1
af7a6693453a055f544ef56eeea407b2a472d78a,FileHash-SHA1
1131bb590d2d1bb60bac1bb9bcf45284469ea672,FileHash-SHA1
4db30179da06bd660cea1f4a9e04ce5cd1ee7f09,FileHash-SHA1
85568694b630ee1d7d2abe035aaab728064b4820,FileHash-SHA1
23cf9dc4c147b6b5f156586b215aec0c0acd458a,FileHash-SHA1
c08d2aecbaf58cf5d029bb5ff5321b7c7ec3038a,FileHash-SHA1
c69e9a1319ad34da7a3b91623a5dfe0256f385c0,FileHash-SHA1
cd52415ab70fe2ee8cd5afbf91636cdb6a8b20c6,FileHash-SHA1
0c00224279c58134edef7625116ce327838469ac,FileHash-SHA1
30ea421eadea964e06dbfa768464aaa34712442e,FileHash-SHA1
3f472003c840743095b7c73c4e1d268e8a475825,FileHash-SHA1
5b639c0ab45db717b52b6f84ccb2f7f9c62c0b56,FileHash-SHA1
8e9faebd79b7deece6139e29ab179cf06fdf2ae2,FileHash-SHA1
4eeac9831b6505f3dd61b3ccaf126bf32edf5bb8,FileHash-SHA1
6ec3bab6627134fbfe8d5cdc9e99f9bc8baf788d,FileHash-SHA1
40ddb7a1582405f16bbf5cbb495a04de6624a8b0,FileHash-SHA1
44e55b2859ef036bd38f6166680789c93d2e6014,FileHash-SHA1
c3f3825107f3abcaf4f3bab5d00fd651a7631f8f,FileHash-SHA1
3397462dbbff3a0154a6a59cc327fbf5ccb730e0,FileHash-SHA1
630eb398db80ccf910bb42abe15cd8582c4269b5,FileHash-SHA1
81a09c38322d1a1015c62b0d335a1be989b2b71b,FileHash-SHA1
47dbf23597f345bb1a9332014f6d0c5c2fe5a270,FileHash-SHA1
f849e42c3b1bd1b881c1039b21ef5c4846cffaad,FileHash-SHA1
671e195ad9c38bbb4985b8643f4de091c47cdde7,FileHash-SHA1
2fc8b38d3f40d8151ec717c8a8813cf06df90c10,FileHash-SHA1
7cb93956651eab577d82ac33b4767029f830d911,FileHash-SHA1
e099cca89b63b8f7dbd81d55b5d2b2860eed01ee,FileHash-SHA1
2057a43824a0b97cb20d5e616a3b690e15a796de,FileHash-SHA1
93dfd3f4c93bb453e35eb93c265f044eae17eed5,FileHash-SHA1
dd8e06bf7f3a725391999555ae826511b2c3af0d,FileHash-SHA1
ed1cdc3325153fe23246dd684d177e562366e687,FileHash-SHA1
3cbd69fb0961afa5205c3ff6080141a51a59417e,FileHash-SHA1
5ecbb823ee406644a4747a1fbe61ccb1e63b74fa,FileHash-SHA1
aae44ae37ed2c9eb74077e63ef3697322cc1a9d6,FileHash-SHA1
ee1f1fc89ce9ad3fb8fb7e32f0353a8a5b16599a,FileHash-SHA1
119b3c549760fa12ad911aeb0f58295ec268190a,FileHash-SHA1
5c672e2cf38b7deb2f765d7963e56abb3f701430,FileHash-SHA1
cf30c091436a413c203aa9d8c5359489015c6527,FileHash-SHA1
4aa3e5512c1d148226e64e33cc8c1695bdcda7d6,FileHash-SHA1
https://s1.ai/bb-fin7,URL
dd01ea713c3a92334ea6a27898be427f7834f738,FileHash-SHA1
543103be9a70ca29f815142693896f0a258a3c10,FileHash-SHA1
cf93ed132db3193fca17e84212958d5e63bec86f,FileHash-SHA1
0685a31c0dcc58094d920d152b17f389aebd432b,FileHash-SHA1
794d570cb62377b44aba3ef3c3fe393e4abe5f0c,FileHash-SHA1
97d35c5ba3af6b16de10543300c6363d818ae577,FileHash-SHA1
1c451dc11c424f23ceedca244f3a5a91aeebfb0f,FileHash-SHA1
8eb1a4796db0b0b36b5f57f4119f3b326b18e8de,FileHash-SHA1
986693a4d57c4b1f90bb2bda3f02e6db8d25c332,FileHash-SHA1
98e8be6dc77c6fca3efdd24e760f1dccd87ad028,FileHash-SHA1
af36d24da46f71a7c8cb18b5130d5a8e73257cb9,FileHash-SHA1
45.153.241.167,IPv4
5.196.124.228,IPv4
toshakbarghi.ir,domain
cdn-skype.com,domain
domenuscdm.com,domain
53f92d0b56b3eadd97e77684c9c374db08b654f8,FileHash-SHA1
c328f48c5f4a2c2441bcd0b0c0551547ca254f7ebbb46d30d357e962d8330063,FileHash-SHA256
122cb55f1352b9a1aeafc83a85bfb165,FileHash-MD5
f42cd7c024969b8b589620b0643e0d974a95c84d,FileHash-SHA1
746ffc3bb7fbe4ad229af1ed9b6e1db314880c0f9cb55aec5f56da79bce2f79b,FileHash-SHA256
19d88d7db3b7594c13bf4071632a5013,FileHash-MD5
c1c68454e82d79e75fefad33e5acbb496bbc3f5056dfa26aaf1f142cee1af372,FileHash-SHA256
betfin737.com,domain
8141f47a1ee8453ac01daacb16cab2d18b37a9045edc5f20c9019d4327576704,FileHash-SHA256
1643b85e7f459c6ffe1e5ab9ebb53f93,FileHash-MD5
berotenu.com,domain
https://www.technopat.net/2022/04/15/fin7,URL
confirmation-amazon.net,domain
fin788.biz,domain
209.141.41.214,IPv4
https://attackevals.mitre-engenuity.org/enterprise/carbanak_fin7/,URL
slotsfin777.info,domain
1fin7m8.cfd,domain
fin788.info,domain
fin788.net,domain
195.54.162.79,IPv4
http://geminiadvisory.io/fin7-flash-drives-spread-remote-access-trojan,URL
84d77a3b76ac690ce7a60199c88ceeb5,FileHash-MD5
winfin72.store,domain
jan-profin7.xyz,domain
eliteprofin7.xyz,domain
xd6fin7rl006gu.xyz,domain
betfin737.net,domain
amazon-glftcards.com,domain
vladlen-profin7.xyz,domain
winfin72.online,domain
alexisdanger.com,domain
petshopbook.com,domain
209.141.49.30,IPv4
culturehiphopcafe.com,domain
bungalowphotographyblog.com,domain
huskerblackshirts.com,domain
205.185.113.254,IPv4
205.185.119.34,IPv4
109.234.37.173,IPv4
monusorge.com,domain
medotrader.com,domain
crafterband.com,domain
194.36.189.60,IPv4
jurisdictionient.com,domain
fin706.com,domain
tiffin7days.com,domain
googleapi-cdn.com,domain
fin7f.com,domain
e020668055eb1d22710aa07f72860075,FileHash-MD5
80b022b39d91527f6ae5b4834d7c8173,FileHash-MD5
080406e428641c932ca970cc7daa0cbd2a46c9cc142fae2ac6a64d42112e26ba,FileHash-SHA256
922cff7ffb97df93993ac0ba9c99edb179641032806ea8995ba3c3dc717dbca0,FileHash-SHA256
31.184.234.71,IPv4
cdn-googleservice.com,domain
4458b680f781358da2ab47e1cc43e5a4eb17e5d70825cf1c92a543b353d791b3,FileHash-SHA256
499ebef3ab31a2f98fc8a358bd085b0f,FileHash-MD5
60cd98fc4cb2ae474e9eab81cd34fd3c3f638ad77e4f5d5c82ca46f3471c3020,FileHash-SHA256
31.184.234.66,IPv4
5.149.253.126,IPv4
facebook77-cdn.com,domain
